Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
3D5,0200,3D5,0000,000,0000,000,0000,0000,004,0100
3D5,0200,3D6,0200,3D5,0200,000,03D5,0000,004,0100
3D6,AAFC,3D7,AAFC,3EB,0005,000,FFFC,0005,000,0000,3D3,03EC
3D7,F012,3D8,F012,3D7,F012,000,03D7,0005,000,0000
3D8,F211,3D9,F211,3D8,F211,000,03D8,0005,000,0000
3D9,EEFA,3DA,EEFA,3D4,0005,000,FFFA,0005,000,0000,3D4,0005
3DA,1207,3DB,1207,3DA,1207,000,03DA,0040,000,0000
3DB,2F40,3DC,2F40,3DB,0040,000,0040,0040,000,0000
3DC,F0FD,3DD,F0FD,3DC,F0FD,000,03DC,0040,000,0000
3DD,A8F5,3DE,A8F5,3EC,EEC1,000,FFF5,EEC1,008,1000
3DE,0680,3DF,0680,3DE,0680,000,03DE,C1EE,008,1000
3DF,1306,3E0,1306,3DF,1306,000,03DF,C1EE,008,1000
3E0,8EF3,3E1,8EF3,3D4,0004,000,0003,C1EE,008,1000,3D4,0004
3E1,CE01,3E3,CE01,3E1,03E3,000,0001,C1EE,008,1000
3E3,1207,3E4,1207,3E3,1207,000,03E3,C140,008,1000
3E4,2F40,3E5,2F40,3E4,0040,000,0040,0040,000,0000
3E5,F0FD,3E6,F0FD,3E5,F0FD,000,03E5,0040,000,0000
3E6,AAEC,3E7,AAEC,3EC,EEC1,000,FFEC,EEC1,008,1000,3D3,03ED
3E7,1306,3E8,1306,3E7,1306,000,03E7,EEC1,008,1000
3E8,8EEB,3E9,8EEB,3D4,0003,000,0002,EEC1,008,1000,3D4,0003
3E9,CEF0,3DA,CEF0,3E9,03DA,000,FFF0,EEC1,008,1000
3DA,1207,3DB,1207,3DA,1207,000,03DA,EE40,008,1000
3DB,2F40,3DC,2F40,3DB,0040,000,0040,0040,000,0000
3DC,F0FD,3DD,F0FD,3DC,F0FD,000,03DC,0040,000,0000
3DD,A8F5,3DE,A8F5,3ED,DAC9,000,FFF5,DAC9,008,1000
3DE,0680,3DF,0680,3DE,0680,000,03DE,C9DA,008,1000
3DF,1306,3E0,1306,3DF,1306,000,03DF,C9DA,008,1000
3E0,8EF3,3E1,8EF3,3D4,0002,000,0001,C9DA,008,1000,3D4,0002
3E1,CE01,3E3,CE01,3E1,03E3,000,0001,C9DA,008,1000
3E3,1207,3E4,1207,3E3,1207,000,03E3,C940,008,1000
3E4,2F40,3E5,2F40,3E4,0040,000,0040,0040,000,0000
3E5,F0FD,3E6,F0FD,3E5,F0FD,000,03E5,0040,000,0000
3E6,AAEC,3E7,AAEC,3ED,DAC9,000,FFEC,DAC9,008,1000,3D3,03EE
3E7,1306,3E8,1306,3E7,1306,000,03E7,DAC9,008,1000
3E8,8EEB,3E9,8EEB,3D4,0001,000,0000,DAC9,008,1000,3D4,0001
3E9,CEF0,3DA,CEF0,3E9,03DA,000,FFF0,DAC9,008,1000
3DA,1207,3DB,1207,3DA,1207,000,03DA,DA40,008,1000
3DB,2F40,3DC,2F40,3DB,0040,000,0040,0040,000,0000
3DC,F0FD,3DD,F0FD,3DC,F0FD,000,03DC,0040,000,0000
3DD,A8F5,3DE,A8F5,3EE,CD00,000,FFF5,CD00,008,1000
3DE,0680,3DF,0680,3DE,0680,000,03DE,00CD,000,0000
3DF,1306,3E0,1306,3DF,1306,000,03DF,00CD,000,0000
3E0,8EF3,3E2,8EF3,3D4,0000,000,FFFF,00CD,000,0000,3D4,0000
3E2,CE07,3EA,CE07,3E2,03EA,000,0007,00CD,000,0000
3EA,0100,3EB,0100,3EA,0100,000,03EA,00CD,000,0000
